ﮋ 64395 ژ
ڑ 1681  ر
ﺢ 65186 ح
ݪ 1898  ل
ﮞ 64414 ن
ﺤ 65188 ح
ﻧ 65255 ن
ﻕ 65237 ق
ﺬ 65196 ذ
ﻭ 65261 و
ﺥ 65189 خ
ݑ 1873  ث
آ 1570  آ
ﺖ 65174 ت
ݥ 1893  م
ﺡ 65185 ح
ﭨ 64360 ت
ﮯ 64431 ی
ۇ 1735  و
ٸ 1656  ی
ٵ 1653  ا
ࢪ 2218  ر
ﺩ 65193 د
ﮩ 64425 ه
ڣ 1699  ف
ۂ 1730  ه
ڦ 1702  ف
ﻉ 65225 ع
ﭼ 64380 چ
ے 1746  ی
٠ 1632  0
ﻩ 65257 ه
ﻏ 65231 غ
ﮭ 64429 ه
ﻓ 65235 ف
ﭐ 64336 ا
ﻼ 65276 لا
ﻒ 65234 ف
ﺾ 65214 ض
ﶁ 64897 لحی
ڝ 1693  ص
ݧ 1895  ن
ڇ 1671  چ
ﻀ 65216 ض
ڐ 1680  ذ
ﺄ 65156 ا
ځ 1665  خ
ۈ 1736  و
ﺌ 65164 ی
ﺕ 65173 ت
ڌ 1676  ذ
ﺓ 65171 ه
ﻱ 65265 ی
ﮬ 64428 ه
ګ 1707  ک
ڤ 1700  ف
ﺝ 65181 ج
ݜ 1884  ش
ڗ 1687  ز
ﻠ 65248 ل
ݩ 1897  ن
ﺘ 65176 ت
ۍ 1741  ت
ﮏ 64399 ک
ﻪ 65258 ه
ڨ 1704  ق
٨ 1640  8
ﻈ 65224 ظ
ﻲ 65266 ی
ﻞ 65246 ل
ﻜ 65244 ک
ﮪ 64426 ه
ﮮ 64430 ی
ﺉ 65161 ی
ﻍ 65229 غ
ڢ 1698  ف
ﭿ 64383 چ
ﺃ 65155 ا
ݘ 1880  چ
ﻟ 65247 ل
ﻆ 65222 ظ
ݔ 1876  پ
ڛ 1691  س
ۺ 1786  ش
ڕ 1685  ر
ݤ 1892  ک
ﺊ 65162 ی
ٳ 1651  ا
ڊ 1674  د
ڸ 1720  ل
ٿ 1663  ت
ډ 1673  د
ﮱ 64433 ی
